DEBUG:root:Time[150712.15171 ms]: Job[95], START, G12-G13-G14-G15
DEBUG:root:Time[153211.94238 ms]: Job[81], END, 139350.83660028872
DEBUG:root:Time[154016.91638 ms]: Job[82], END, 139690.85388852842
DEBUG:root:Time[154020.55871 ms]: Job[97], START, G8-G9
DEBUG:root:Time[154020.55871 ms]: Job[96], START, G24-G25-G26-G27-G28-G29-G30-G31
DEBUG:root:Time[154020.55871 ms]: Job[98], START, G10-G11
DEBUG:root:Time[155238.55871 ms]: Job[96], END, 138130.0568273279
DEBUG:root:Time[155243.35871 ms]: Job[99], START, G24-G25-G26-G27
DEBUG:root:Time[156726.44588 ms]: Job[98], END, 139374.4474449304
DEBUG:root:Time[160414.16538 ms]: Job[100], START, G48-G49-G50-G51-G52-G53-G54-G55
DEBUG:root:Time[160458.52815 ms]: Job[80], END, 146860.69535669152
DEBUG:root:Time[164296.15871 ms]: Job[97], END, 147044.28518758997
DEBUG:root:Time[167624.35871 ms]: Job[99], END, 150219.5570153564
DEBUG:root:Time[167625.95605 ms]: Job[101], START, G24-G25-G26-G27-G28-G29-G30-G31
DEBUG:root:Time[167625.95605 ms]: Job[102], START, G8-G9-G10-G11
DEBUG:root:Time[172941.94905 ms]: Job[103], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[172954.92138 ms]: Job[92], END, 156860.10957998288
DEBUG:root:Time[173718.94938 ms]: Job[104], START, G56
DEBUG:root:Time[173756.85971 ms]: Job[91], END, 157774.3152904177
DEBUG:root:Time[174196.29605 ms]: Job[105], START, G16-G17-G18-G19-G20-G21-G22-G23
DEBUG:root:Time[174196.29605 ms]: Job[106], START, G57
DEBUG:root:Time[174196.29605 ms]: Job[107], START, G58-G59
DEBUG:root:Time[174225.11805 ms]: Job[93], END, 157552.98088595216
DEBUG:root:Time[175027.56938 ms]: Job[104], END, 156284.8057666064
DEBUG:root:Time[175540.29605 ms]: Job[105], END, 156785.83882934068
DEBUG:root:Time[175541.42938 ms]: Job[110], START, G60
DEBUG:root:Time[175541.42938 ms]: Job[108], START, G16-G17-G18-G19-G20-G21-G22-G23
DEBUG:root:Time[175541.42938 ms]: Job[109], START, G56
DEBUG:root:Time[176025.24905 ms]: Job[103], END, 157448.7567416022
DEBUG:root:Time[176028.95388 ms]: Job[111], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[176331.54605 ms]: Job[106], END, 157464.55512956143
DEBUG:root:Time[176381.42938 ms]: Job[112], START, G0-G1-G2-G3-G4-G5-G6-G7
DEBUG:root:Time[176381.42938 ms]: Job[113], START, G57-G61-G62-G63
DEBUG:root:Time[176432.65305 ms]: Job[86], END, 161903.68496529473
DEBUG:root:Time[177116.20938 ms]: Job[110], END, 157290.03947508964
DEBUG:root:Time[177137.42938 ms]: Job[108], END, 157767.92537085863
DEBUG:root:Time[177139.75605 ms]: Job[114], START, G16-G17-G18-G19
DEBUG:root:Time[177406.33823 ms]: Job[113], END, 156168.30329064172
DEBUG:root:Time[177456.95388 ms]: Job[111], END, 156751.68390821575
DEBUG:root:Time[177457.97305 ms]: Job[115], START, G40-G41-G42-G43-G44-G45-G46-G47
DEBUG:root:Time[178038.02938 ms]: Job[109], END, 158561.8750737964
