DEBUG:root:Time[49432.86742 ms]: Job[19], START, G6-G7-G12-G15
DEBUG:root:Time[50443.53924 ms]: Job[18], END, 36033.23918640787
DEBUG:root:Time[50446.59798 ms]: Job[21], START, G8-G9-G10-G11
DEBUG:root:Time[60040.45339 ms]: Job[ 9], END, 52644.43465447538
DEBUG:root:Time[60043.62117 ms]: Job[23], START, G2-G3-G13-G14
DEBUG:root:Time[63607.17028 ms]: Job[24], START, G8-G9-G10-G11
DEBUG:root:Time[63633.36195 ms]: Job[21], END, 46080.068004917135
DEBUG:root:Time[66468.67181 ms]: Job[23], END, 47019.49987602667
DEBUG:root:Time[66474.47644 ms]: Job[25], START, G2-G3-G13-G14
DEBUG:root:Time[75451.51667 ms]: Job[26], START, G6-G7-G12-G15
DEBUG:root:Time[75608.40387 ms]: Job[19], END, 59907.84711659078
DEBUG:root:Time[80064.16679 ms]: Job[28], START, G8-G9-G10-G11
DEBUG:root:Time[80090.62525 ms]: Job[24], END, 60553.16488793882
DEBUG:root:Time[82590.84632 ms]: Job[28], END, 60665.45580485597
DEBUG:root:Time[82610.35174 ms]: Job[32], START, G8-G9-G10-G11
DEBUG:root:Time[100641.46350 ms]: Job[33], START, G0-G1-G4-G5
DEBUG:root:Time[100731.98720 ms]: Job[ 8], END, 93676.5267123088
DEBUG:root:Time[109808.05244 ms]: Job[32], END, 86605.82184657973
DEBUG:root:Time[109848.69754 ms]: Job[34], START, G8-G9-G10-G11
DEBUG:root:Time[116612.47584 ms]: Job[35], START, G6-G7-G12-G15
DEBUG:root:Time[116758.94102 ms]: Job[26], END, 96586.643818477
DEBUG:root:Time[118090.42502 ms]: Job[34], END, 94359.98208321867
DEBUG:root:Time[118095.46562 ms]: Job[36], START, G8-G9-G10-G11
DEBUG:root:Time[120674.97618 ms]: Job[35], END, 96630.66032117975
DEBUG:root:Time[120685.72387 ms]: Job[38], START, G6-G7-G12-G15
DEBUG:root:Time[124694.76235 ms]: Job[40], START, G2-G3-G13-G14
DEBUG:root:Time[124787.95792 ms]: Job[25], END, 104875.97049064634
DEBUG:root:Time[126296.95953 ms]: Job[42], START, G8-G9-G10-G11
DEBUG:root:Time[126337.19311 ms]: Job[36], END, 102015.33167053634
DEBUG:root:Time[130936.59094 ms]: Job[38], END, 105549.64497487045
DEBUG:root:Time[130961.52001 ms]: Job[43], START, G6-G7-G12-G15
DEBUG:root:Time[134635.00199 ms]: Job[42], END, 107444.09868147374
DEBUG:root:Time[134636.12171 ms]: Job[44], START, G8-G9-G10-G11
DEBUG:root:Time[142865.88056 ms]: Job[45], START, G8-G9-G10-G11
DEBUG:root:Time[142877.84920 ms]: Job[44], END, 113184.19667969985
DEBUG:root:Time[143383.56053 ms]: Job[43], END, 115765.54561008766
DEBUG:root:Time[143386.47927 ms]: Job[46], START, G6-G7-G12-G15
DEBUG:root:Time[145972.98667 ms]: Job[46], END, 115249.44397403242
DEBUG:root:Time[145976.88961 ms]: Job[47], START, G6-G7-G12-G15
DEBUG:root:Time[158873.68342 ms]: Job[45], END, 128426.34043949613
DEBUG:root:Time[158908.64994 ms]: Job[48], START, G8-G9-G10-G11
DEBUG:root:Time[162546.80057 ms]: Job[48], END, 131080.51271864877
DEBUG:root:Time[162569.28166 ms]: Job[49], START, G8-G9-G10-G11
DEBUG:root:Time[167053.06514 ms]: Job[52], START, G2-G3-G13-G14
DEBUG:root:Time[167166.97443 ms]: Job[40], END, 140935.19461006363
DEBUG:root:Time[184490.20058 ms]: Job[54], START, G8-G9-G10-G11
DEBUG:root:Time[184493.01166 ms]: Job[49], END, 152864.0335664253
DEBUG:root:Time[188675.10116 ms]: Job[55], START, G0-G1-G4-G5
DEBUG:root:Time[188749.99553 ms]: Job[33], END, 165178.46194814952
DEBUG:root:Time[193815.12737 ms]: Job[56], START, G2-G3-G13-G14
DEBUG:root:Time[193945.39403 ms]: Job[52], END, 157815.7556925764
DEBUG:root:Time[200954.31742 ms]: Job[57], START, G8-G9-G10-G11
DEBUG:root:Time[200973.65555 ms]: Job[54], END, 162378.83724272004
DEBUG:root:Time[201736.31690 ms]: Job[56], END, 161803.5522008167
DEBUG:root:Time[201747.84649 ms]: Job[59], START, G2-G3-G13-G14
DEBUG:root:Time[204239.00081 ms]: Job[57], END, 164076.91855315608
DEBUG:root:Time[204653.04609 ms]: Job[47], END, 173543.1740389179
DEBUG:root:Time[205652.55756 ms]: Job[59], END, 164733.21403346048
DEBUG:root:Time[231601.78723 ms]: Job[55], END, 192984.95739343768
