DEBUG:root:Time[79533.37940 ms]: Job[40], START, G0-G1-G2-G3
DEBUG:root:Time[82818.06280 ms]: Job[40], END, 3284.683391812985
DEBUG:root:Time[85020.77190 ms]: Job[41], ARRIVE, resnet50-1
DEBUG:root:Time[85020.77190 ms]: Job[41], START, G0
DEBUG:root:Time[85262.44497 ms]: Job[39], END, 6569.36678362597
DEBUG:root:Time[86101.56591 ms]: Job[42], ARRIVE, gpt-4
DEBUG:root:Time[86101.56591 ms]: Job[42], START, G8-G9-G10-G11
DEBUG:root:Time[87149.06190 ms]: Job[41], END, 2128.2899999999936
DEBUG:root:Time[95522.27634 ms]: Job[43], ARRIVE, gpt-4
DEBUG:root:Time[95522.27634 ms]: Job[43], START, G0-G1-G2-G3
DEBUG:root:Time[97218.95585 ms]: Job[42], END, 11117.389941520873
DEBUG:root:Time[101080.97131 ms]: Job[43], END, 5558.694970760436
DEBUG:root:Time[103470.98059 ms]: Job[44], ARRIVE, vgg16-2
DEBUG:root:Time[103470.98059 ms]: Job[44], START, G0-G1
DEBUG:root:Time[103717.19327 ms]: Job[35], END, 36263.60093567202
DEBUG:root:Time[104361.27774 ms]: Job[45], ARRIVE, mobilenet-1
DEBUG:root:Time[104361.27774 ms]: Job[45], START, G2
DEBUG:root:Time[105042.62049 ms]: Job[46], ARRIVE, gpt-4
DEBUG:root:Time[105042.62049 ms]: Job[46], START, G8-G9-G10-G11
DEBUG:root:Time[106857.87774 ms]: Job[45], END, 2496.600000000006
DEBUG:root:Time[109000.10142 ms]: Job[38], END, 36263.60093567199
DEBUG:root:Time[112444.78119 ms]: Job[47], ARRIVE, resnet50-4
DEBUG:root:Time[112444.78119 ms]: Job[47], START, G4-G5-G6-G7
DEBUG:root:Time[116634.86129 ms]: Job[44], END, 13163.880701751681
DEBUG:root:Time[118327.74817 ms]: Job[47], END, 5882.966984126397
DEBUG:root:Time[122100.63169 ms]: Job[48], ARRIVE, vgg16-1
DEBUG:root:Time[122100.63169 ms]: Job[48], START, G0
DEBUG:root:Time[123234.67146 ms]: Job[49], ARRIVE, vgg16-1
DEBUG:root:Time[123234.67146 ms]: Job[49], START, G1
DEBUG:root:Time[123364.89169 ms]: Job[48], END, 1264.2599999999948
DEBUG:root:Time[124875.99146 ms]: Job[49], END, 1641.320000000007
DEBUG:root:Time[126025.18310 ms]: Job[50], ARRIVE, gpt-2
DEBUG:root:Time[126025.18310 ms]: Job[50], START, G0-G1
DEBUG:root:Time[126112.07397 ms]: Job[51], ARRIVE, gpt-2
DEBUG:root:Time[126112.07397 ms]: Job[51], START, G2-G3
DEBUG:root:Time[138932.37605 ms]: Job[52], ARRIVE, gpt-4
DEBUG:root:Time[138932.37605 ms]: Job[52], START, G4-G5-G6-G7
DEBUG:root:Time[141306.22142 ms]: Job[46], END, 36263.60093567203
DEBUG:root:Time[142507.33673 ms]: Job[53], ARRIVE, gpt-2
DEBUG:root:Time[142507.33673 ms]: Job[53], START, G8-G9
DEBUG:root:Time[143881.82516 ms]: Job[54], ARRIVE, resnet50-1
DEBUG:root:Time[143881.82516 ms]: Job[54], START, G10
DEBUG:root:Time[145501.74283 ms]: Job[52], END, 6569.366783625941
DEBUG:root:Time[146079.89516 ms]: Job[54], END, 2198.070000000007
DEBUG:root:Time[148013.80537 ms]: Job[55], ARRIVE, gpt-4
DEBUG:root:Time[148013.80537 ms]: Job[55], START, G4-G5-G6-G7
DEBUG:root:Time[148411.42232 ms]: Job[56], ARRIVE, resnet50-2
DEBUG:root:Time[148411.42232 ms]: Job[56], START, G10-G11
DEBUG:root:Time[150613.14035 ms]: Job[53], END, 8105.803625732282
DEBUG:root:Time[150989.99743 ms]: Job[50], END, 24964.814327483386
DEBUG:root:Time[151076.88830 ms]: Job[51], END, 24964.81432748327
DEBUG:root:Time[151103.04212 ms]: Job[56], END, 2691.6198050661187
DEBUG:root:Time[154583.17216 ms]: Job[55], END, 6569.366783625941
DEBUG:root:Time[158956.17770 ms]: Job[57], ARRIVE, vgg16-1
DEBUG:root:Time[158956.17770 ms]: Job[57], START, G0
DEBUG:root:Time[159382.79848 ms]: Job[58], ARRIVE, gpt-4
DEBUG:root:Time[159382.79848 ms]: Job[58], START, G4-G5-G6-G7
DEBUG:root:Time[160464.41770 ms]: Job[57], END, 1508.2399999999907
DEBUG:root:Time[162678.97774 ms]: Job[59], ARRIVE, gpt-4
DEBUG:root:Time[162678.97774 ms]: Job[59], START, G0-G1-G2-G3
DEBUG:root:Time[164627.02810 ms]: Job[60], ARRIVE, vgg16-1
DEBUG:root:Time[164627.02810 ms]: Job[60], START, G8
DEBUG:root:Time[166334.88810 ms]: Job[60], END, 1707.859999999986
DEBUG:root:Time[166683.43685 ms]: Job[61], ARRIVE, vgg16-1
DEBUG:root:Time[166683.43685 ms]: Job[61], START, G8
DEBUG:root:Time[167557.44129 ms]: Job[62], ARRIVE, gpt-4
DEBUG:root:Time[167557.44129 ms]: Job[62], START, G12-G13-G14-G15
DEBUG:root:Time[168524.37685 ms]: Job[61], END, 1840.9400000000023
DEBUG:root:Time[168869.88636 ms]: Job[63], ARRIVE, gpt-2
DEBUG:root:Time[168869.88636 ms]: Job[63], START, G8-G9
DEBUG:root:Time[170200.00581 ms]: Job[64], ARRIVE, gpt-4
DEBUG:root:Time[170200.00581 ms]: Job[64], START, G16-G17-G18-G19
DEBUG:root:Time[171285.89150 ms]: Job[65], ARRIVE, gpt-4
